name,ingredients,measurements
The Jimmy Conway,"['irish whiskey', 'amaretto', 'cranberry juice']","['50 ml', '50 ml', '4 oz']"
Vesper,"['gin', 'vodka', 'lillet blanc']","['6 cl', '1.5 cl', '0.75 cl']"
Vodka Lemon,"['vodka', 'lemon juice', 'lemon peel', 'ice']","['5 cl', '7 cl', '1 Slice', 'cubes']"
Vodka Slime,"['sprite', 'lime juice', 'vodka']","['1 cup', '1/2 shot', '1 1/2 shot']"
Vodka Tonic,"['vodka', 'tonic water', 'lemon peel']","['4 cl', '10 cl', '1 Slice']"
Winter Paloma,"['tequila', 'grapefruit juice', 'lime juice', 'agave syrup', 'pepper']","['2 shots', 'Top', 'Juice of 1', '1 tsp', 'Dash']"
Yellow Bird,"['white rum', 'galliano', 'triple sec', 'lime juice']","['3 cl', '1.5 cl', '1.5 cl', '1.5 cl']"
Zombie,"['rum', 'gold rum', '151 proof rum', 'pernod', 'grenadine', 'lime juice', 'angostura bitters']","['1 1/2 oz', '1 1/2 oz', '1 oz', '1 tsp', '1 tsp', '1 tsp', '1 drop']"
Zorbatini,"['vodka', 'ouzo']","['1 1/4 oz Stoli', '1/4 oz']"
Zippy's Revenge,"['amaretto', 'rum', 'kool-aid']","['2 oz', '2 oz', '4 oz Grape']"
